date,Natural_Gas_Price,Natural_Gas_Vol.
02-02-2024,2.079,
02-01-2024,2.05,161340.0
01-31-2024,2.1,142860.0
01-30-2024,2.077,139750.0
01-29-2024,2.49,3590.0
01-26-2024,2.712,73020.0
01-25-2024,2.571,44980.0
01-24-2024,2.641,65500.0
01-23-2024,2.45,69160.0
01-22-2024,2.419,121580.0
01-19-2024,2.519,138430.0
01-18-2024,2.697,151820.0
01-17-2024,2.87,150330.0
01-16-2024,2.9,228160.0
01-12-2024,3.313,265880.0
01-11-2024,3.097,235030.0
01-10-2024,3.039,258010.0
01-09-2024,3.19,351780.0
01-08-2024,2.98,237670.0
01-05-2024,2.893,187500.0
01-04-2024,2.821,206310.0
01-03-2024,2.668,166470.0
01-02-2024,2.568,132450.0
12-29-2023,2.514,89600.0
12-28-2023,2.557,116060.0
12-27-2023,2.619,3930.0
12-26-2023,2.55,50760.0
12-22-2023,2.61,42840.0
12-21-2023,2.572,84550.0
12-20-2023,2.447,125260.0
12-19-2023,2.492,170440.0
12-18-2023,2.503,154300.0
12-15-2023,2.491,189240.0
12-14-2023,2.392,159490.0
12-13-2023,2.335,255190.0
12-12-2023,2.311,223460.0
12-11-2023,2.35,144300.0
12-08-2023,2.504,88300.0
12-07-2023,2.52,125250.0
12-06-2023,2.517,82950.0
12-05-2023,2.667,42490.0
12-04-2023,2.651,53830.0
12-01-2023,2.773,48470.0
11-30-2023,2.802,147750.0
11-29-2023,2.804,141590.0
11-28-2023,2.706,4140.0
11-27-2023,2.794,67040.0
11-24-2023,2.855,34120.0
11-22-2023,2.897,59220.0
11-21-2023,2.846,103670.0
11-20-2023,2.882,113700.0
11-17-2023,3.131,146650.0
11-16-2023,3.239,166400.0
11-15-2023,3.362,109450.0
11-14-2023,3.106,146720.0
11-13-2023,3.197,165650.0
11-10-2023,3.033,106720.0
11-09-2023,3.041,142580.0
11-08-2023,3.106,172750.0
11-07-2023,3.14,186180.0
11-06-2023,3.264,185740.0
11-03-2023,3.515,110110.0
11-02-2023,3.472,118510.0
11-01-2023,3.494,151260.0
10-31-2023,3.575,238330.0
10-30-2023,3.352,119530.0
10-27-2023,3.164,4090.0
10-26-2023,3.214,88610.0
10-25-2023,3.01,31460.0
10-24-2023,2.971,65430.00000000001
10-23-2023,2.926,99130.0
10-20-2023,2.899,144040.0
10-19-2023,2.957,138650.0
10-18-2023,3.056,122850.0
10-17-2023,3.079,133590.0
10-16-2023,3.109,165020.0
10-13-2023,3.236,139190.0
10-12-2023,3.344,160320.0
10-11-2023,3.377,211410.0
10-10-2023,3.382,170100.0
10-09-2023,3.376,208300.0
10-06-2023,3.338,248000.0
10-05-2023,3.166,220410.0
10-04-2023,2.962,155570.0
10-03-2023,2.949,128580.0
10-02-2023,2.84,124340.0
09-29-2023,2.929,114660.0
09-28-2023,2.945,123670.0
09-27-2023,2.764,1880.0
09-26-2023,2.656,57090.0
09-25-2023,2.639,36180.0
09-22-2023,2.637,52640.0
09-21-2023,2.61,99970.0
09-20-2023,2.733,140310.0
09-19-2023,2.848,164810.0
09-18-2023,2.728,128310.0
09-15-2023,2.644,127780.0
09-14-2023,2.708,154080.0
09-13-2023,2.68,191710.0
09-12-2023,2.743,202190.0
09-11-2023,2.608,110880.0
09-08-2023,2.605,101230.0
09-07-2023,2.579,140330.0
09-06-2023,2.51,116660.0
09-05-2023,2.582,178330.0
